Time,User,Tweet
2022-05-25 16:21:13+00:00,kentcdodds,RT @ryanflorence: Schooling us on remix rendering optimizations for the client and server is @shaundai. Equal to her insights are her voice…
2022-05-25 16:21:04+00:00,kentcdodds,"RT @mjackson: We’re talking about making sites *instantly* interactive with @remix_run at #RemixConf.

Learning from @shaundai, who I’m hon…"
2022-05-25 16:20:36+00:00,kentcdodds,RT @remix_run: We want everyone to feel welcome at our conference. Thank you for coming ❤️
2022-05-25 16:19:52+00:00,kentcdodds,RT @ceeoreo_: I really wanted to do more than that. If anyone knows of any non profit organizations that are serving victims of mass shooti…
2022-05-25 16:19:16+00:00,asper_jacob,I was talking to my friend from Mexico and I got reminded that not every country needs to teach kids how to barrica… https://t.co/53qZG8yiQm
2022-05-25 16:18:26+00:00,WellPaidGeek,"Learn JavaScript step by step. 

Comprehensive beginners course, 40% off for the next 20 people.

https://t.co/g2lEp8wu8r"
2022-05-25 16:16:44+00:00,kentcdodds,"If you're not watching @shaundai's talk right now what are you even doing? https://t.co/n3TqTPMC6K

Terrific talk.… https://t.co/lvbgywXHJC"
2022-05-25 16:15:39+00:00,kentcdodds,I don't know how to describe these feelings I'm having right now. Never had them before.
2022-05-25 16:14:35+00:00,TheAnkurTyagi,RT @shl: Upgrade your environment because your environment upgrades you.
2022-05-25 16:14:16+00:00,denicmarko,"@eddiejaoude @VMwareTanzu Thank you for this, Eddie."
2022-05-25 16:13:04+00:00,denicmarko,@Prathkum 🙏
2022-05-25 16:12:38+00:00,denicmarko,@FrancescoCiull4 @ProductHunt Nice.
2022-05-25 16:12:25+00:00,kentcdodds,"@shaundai (Pun intended, but also true)"
2022-05-25 16:12:18+00:00,denicmarko,@Prathkum @EditorX The best swag I ever got was from @Wix. 😁
2022-05-25 16:10:15+00:00,WellPaidGeek,"Learn JavaScript step by step. 

Comprehensive beginners course, 40% off for the next 20 people. 

https://t.co/g2lEp8wu8r"
2022-05-25 16:10:14+00:00,WellPaidGeek,"JavaScript is the most versatile programming languages in the world.

Used on the Frontend and backend.

Used for w… https://t.co/IBl3OMQkvE"
2022-05-25 16:09:03+00:00,ossia,"I vote in every single election here in Texas: primaries, run-offs, general, presidential, gubernatorial.

Anyone w… https://t.co/hqHhB9VfYW"
2022-05-25 16:08:23+00:00,kentcdodds,RT @jlengstorf: Now we’ve got @shaundai talking about instant interactivity in @remix_run apps. #RemixConf https://t.co/9S5DAikFyy
2022-05-25 16:08:22+00:00,kentcdodds,Holy smokes this human is the best Person! Go @shaundai! #RemixConf https://t.co/VLZz1xovlu
2022-05-25 16:07:31+00:00,Infinitians1,"RT @domiono: Trying to heal someone’s wounds and trauma will only leave you wounded and traumatized. Save yourself. As harsh as it sounds,…"
